monthSales,originalPrice,praiseContent,price,productName,productSpuId,productStatus,promotionInfo,wmPoiId,city,province,store
6,8,赞1,8,妃子笑,102346976,0,,932361272337320,兴城,辽宁省,7果鲜饮创作（银像四楼店）
2,8,赞0,8,妃子笑,291479508,0,,984411980975354,兴城,辽宁省,7果贡茶（银像4楼店）
0,11,赞0,11,妃子笑荔枝,1137158886,0,,874748581022439,兴城,辽宁省,宝来生鲜超市
21,25.88,赞0,15.88,精品妃子笑荔枝,1531235207,0,6.14折,934199518345971,长春,吉林省,鲜果工坊（全城配送J）
7,28.88,赞0,15.68,精品妃子笑荔枝 400克,1531454880,0,5.43折,855185004980347,长春,吉林省,尚鲜优果（全城配送店）
0,14.88,赞0,14.88,精品妃子笑荔枝 半斤,1531290031,0,,855185004980347,长春,吉林省,尚鲜优果（全城配送店）
0,17,赞0,17,荔香妃子笑,1443398442,0,,968103990143683,长春,吉林省,慕斯奶茶（欢乐城店）
9,17,赞0,17,妃子笑荔枝,1475592414,0,,985232319762588,长春,吉林省,溢鲜水果店（全城配送）
32,13.98,赞0,13.98,妃子笑荔枝 新下来尝鲜 一斤,1513696803,0,,1080361550406208,长春,吉林省,荣和平价水果超市（全城配送店）
3,18,赞0,18,妃子笑荔枝/500g 500g,1525394243,0,,1075319258766688,长春,吉林省,水果野疯狂（全城配送）
0,49.9,赞0,49.9,妃子笑荔枝,833175632,0,,1106762714353958,长春,吉林省,鲜果乐（全城配送）
0,15.8,赞0,15.8,妃子笑荔枝/500g,1528406818,0,,1125510246578401,长春,吉林省,北安水果百货超市(全城配送）
0,20,赞0,20,妃子笑荔枝/500g 500g,1525690862,0,,1032511319740443,长春,吉林省,诚品水果蔬菜
51,19.9,赞0,19.9,妃子笑荔枝/500g 一斤,1486151310,0,,986954601659485,白城,吉林省,集果坊（一号店）
44,19.8,赞0,19.8,妃子笑荔枝 500g,259723030,0,,944266921670482,白城,吉林省,鲜果汇
5,13,赞0,13,妃子笑小核荔枝 1斤,1529637312,0,,1017620668089046,白城,吉林省,爱果者水果
49,9.5,赞0,9.5,妃子笑荔枝一份一盒6两左右,1267626958,0,,1007166717699965,白城,吉林省,花果山超市
38,16.88,赞1,16.88,红颜妃子笑,1168896854,0,,994548103808928,白城,吉林省,酷品冷饮
0,35,赞0,31.5,妃子笑荔枝,1488720852,0,9.0折,1013768082486872,白城,吉林省,高峰水果
